product_code,product_name,color
000335002013000,Xe đạp Thống Nhất Super 24 Xanh,Xanh
000217002001000,Xe đạp Thống Nhất GN 06-26 Đen,Đen
000218002001000,Xe đạp Thống Nhất GN 06-27 Đen,Đen
000215004000000,Xe đạp Thống Nhất GN 05-27,
000335002001000,Xe đạp Thống Nhất Super 24 Đen,Đen
000324000180000,Xe đạp Thống Nhất MTB 26-05_2023 Đen mờ,Mờ
000123002007000,Xe đạp Thống Nhất Neo 20-03 Coban,Coban
000329002005000,Xe đạp Thống Nhất MTB 26-07 Tem cam,Tem Cam
000329002004001,Xe đạp Thống Nhất MTB 26-07 Tem đỏ,Tem Đỏ
1000350050220000,"Xe đạp Thống Nhất MTB Cyper 2024 27.5""  Ghi",Ghi
100028005020000,Xe đạp Thống Nhất MTB Cyper 27.5 Xanh,Xanh
1050010000200000,Xe đạp Thống Nhất TE Super Man 12 Xanh,Xanh
000217002003000,Xe đạp Thống Nhất GN 06-26 Đỏ đun,Đỏ Đun
000324000040000,Xe đạp Thống Nhất MTB 26-05_2023 Đỏ đun,Đỏ Đun
000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem
000231003005000,Xe đạp Thống Nhất M2601 Đen Tem cam,Tem Cam
000218004008000,Xe đạp Thống Nhất GN 06-27 2.0 Pro Ghi,Ghi
1010020000050000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_15 Cam",Cam
000231003022000,Xe đạp Thống Nhất M2601 Xanh dương,Xanh Dương
000304002019000,Xe đạp Thống Nhất MTB 20-04 Tem Vàng,Vàng
000305002022000,Xe đạp Thống Nhất MTB 20-05 Xanh dương,Xanh Dương
000209002007000,Xe đạp Thống Nhất 219-26 Coban,Coban
000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen
000131002004005,Xe đạp Thống Nhất GN 06 20 2024 Đỏ,Đỏ
000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi
000131002019002,Xe đạp Thống Nhất GN 06 20 2024 Vàng,Vàng
000225002024000,Xe đạp Thống Nhất New 26 Tím,Tím
000216002001000,Xe đạp Thống Nhất GN 06-24 Đen,Đen
000124002024000,Xe đạp Thống Nhất Neo 2004 Tím,Tím
1000330010090000,"Xe đạp Thống Nhất The Powerpuff Girls 16"" Hồng",Hồng
1000340010240000,"Xe đạp Thống Nhất TE The Powerpuff Girls 12"" Tím",Tím
000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",Ngọc
1010020010050000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_17 Cam",Cam
1010020010220000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_17 Xanh dương",Xanh Dương
1000300050200000,Xe đạp Thống Nhất MTB SPD 27.5 (xanh da trời),Trời
000334002001000,Xe đạp Thống Nhất Super 20 Đen,Đen
000305002001000,Xe đạp Thống Nhất MTB 20-05 Đen,Đen
000335002004000,Xe đạp Thống Nhất Super 24 Đỏ,Đỏ
000334002013000,Xe đạp Thống Nhất Super 20 Xanh,Xanh
000334002004000,Xe đạp Thống Nhất Super 20 Đỏ,Đỏ
000116002023000,Xe đạp thống nhất TE Love 16 Kem,Kem
000131002004000,Xe đạp Thống Nhất GN 06 20 Đỏ tươi,Đỏ Tươi
100028005008000,Xe đạp Thống Nhất MTB Cyper 27.5 Ghi,Ghi
100035005001000,"Xe đạp Thống Nhất MTB Cyper 2024 27.5""  Đen",Đen
000231003023000,Xe đạp Thống Nhất M2601 Đen Tem Xanh,Xanh
1000310050080000,Xe đạp Thống Nhất Road RPD 700C Ghi,Ghi
1000310050010000,Xe đạp Thống Nhất Road RPD 700C Đen,Đen
000490002007000,Xe đạp đôi Thống Nhất 26 Coban,Coban
000490002004000,Xe đạp đôi Thống Nhất 26 Đỏ tươi,Đỏ Tươi
000490002009000,Xe đạp đôi Thống Nhất 26 Hồng,Hồng
000217004022000,Xe đạp Thống Nhất GN 06-26 2.0 Pro Xanh dương,Xanh Dương
000208002003000,Xe đạp Thống Nhất 219-24 Đỏ đun,Đỏ Đun
000324000100000,Xe đạp Thống Nhất MTB 26-05_2023 Xanh rêu,Rêu
000209002003000,Xe đạp Thống Nhất 219-26 Đỏ đun,Đỏ Đun
000122002009000,Xe đạp Thống Nhất Neo 20-02 Hồng,Hồng
000122002004000,Xe đạp Thống Nhất Neo 20-02 Đỏ tươi,Đỏ Tươi
000122002002000,Xe đạp Thống Nhất Neo 20-02 Trắng,Trắng
000122002007000,Xe đạp Thống Nhất Neo 20-02 Coban,Coban
1000310050200000,Xe đạp Thống Nhất Road RPD 700C Xanh da trời,Trời
1060010000200000,Xe đạp Thống Nhất TE Super Man 16 Xanh,Xanh
000224002024000,Xe đạp Thống Nhất New 24 Tím,Tím
000218002003000,Xe đạp Thống Nhất GN 06-27 Đỏ đun,Đỏ Đun
000227002014000,Xe đạp Thống Nhất LD 24-02 Xanh Santorini,Xanh Santorini
000304002020000,Xe đạp Thống Nhất MTB 20-04 Tem Xanh da trời,Trời
000216002003000,Xe đạp Thống Nhất GN 06-24 Đỏ đun,Đỏ Đun
000413002018000,Xe đạp Thống Nhất Highway 27.5 Đen mờ,Mờ
000226002014000,Xe đạp Thống Nhất LD 24-01 Xanh Santorini,Xanh Santorini
1010020010080000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_17 Ghi",Ghi
000230002002000,Xe đạp Thống Nhất LD 26 Trắng,Trắng
000231003002001,Xe đạp Thống Nhất M2601 Shimano Trắng (tem tím),Tím
000231003005001,Xe đạp Thống Nhất M2601 Shimano Đen (tem cam),Cam
000123002004000,Xe đạp Thống Nhất Neo 20-03 Đỏ tươi,Đỏ Tươi
1010020000080000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_15 Ghi",Ghi
000218004008001,Xe đạp Thống Nhất GN 06-27 2.0 Pro Shimano Ghi,Ghi
000217004008001,Xe đạp Thống Nhất GN 06-26 2.0 Pro Shimano Ghi,Ghi
000115002019001,Xe đạp Thống Nhất 16 Ben 10 màu vàng,Vàng
000124002004000,Xe đạp Thống Nhất Neo 2004 Đỏ tươi,Đỏ Tươi
000231003022001,Xe đạp Thống Nhất M2601 Shimano Xanh (tem trắng),Trắng
000231003023001,Xe đạp Thống Nhất M2601 Shimano Đen (tem xanh),Xanh
000114002000000,Xe đạp Thống Nhất TE 16-04,
000218004009001,Xe đạp Thống Nhất GN 06-27 2.0 Pro BLACKPINK,Blackpink
000217004022001,Xe đạp Thống Nhất GN 06-26 2.0 Pro Shimano Xanh,Xanh
000224002007000,Xe đạp Thống Nhất New 24 Coban,Coban
000303002005000,Xe đạp Thống Nhất MTB 20-03 Tem cam,Tem Cam
000303002019000,Xe đạp Thống Nhất MTB 20-03 Tem Vàng,Vàng
000303002004000,Xe đạp Thống Nhất MTB 20-03 Tem đỏ,Tem Đỏ
000304002005000,Xe đạp Thống Nhất MTB 20-04 Tem cam,Tem Cam
000303002003000,Xe đạp Thống Nhất MTB 20-03 Đỏ đun,Đỏ Đun
000123002002000,Xe đạp Thống Nhất Neo 20-03 Trắng,Trắng
000230002001000,Xe đạp Thống Nhất M 27-01 Đen,Đen
000230002027000,Xe đạp Thống Nhất M 27-01 Xanh nước biển,Xanh Nước Biển
000331002001000,Xe đạp Thống Nhất MTB 26-02 đen,Đen
