group_code,group_name,forecast_qty_q2,forecast_revenue_q2,forecast_qty_conservative,forecast_qty_optimistic,forecast_revenue_conservative,forecast_revenue_optimistic,sku_count,revenue_share_q2
CITYBIKE_P,Xe phổ thông,32755.492,51274402752.45182,26204.3936,39306.5904,41019522201.96146,61529283302.942184,65,0.5366989315867936
Unknown,Unknown,14750.054,27853507008.79671,11800.0432,17700.0648,22282805607.03737,33424208410.55605,72,0.2915479586322756
KIDBIKE_1,Xe trẻ em nhóm 1,7900.3837,9942075174.192747,6320.30696,9480.460439999999,7953660139.354198,11930490209.031298,36,0.10406559291399416
KIDBIKE_2,Xe trẻ em nhóm 2,4488.3477,3911809063.827398,3590.67816,5386.017239999999,3129447251.0619183,4694170876.592877,23,0.04094564992329059
SPORTBIKE_S,Xe thể thao thép,791.8217999999999,1598011624.571788,633.45744,950.18616,1278409299.6574304,1917613949.4861455,34,0.016726691790280173
SPORTBIKE_A,Xe thể thao nhôm,399.825,956815999.114725,319.86,479.78999999999996,765452799.29178,1148179198.93767,17,0.01001517515336574
