product_code,product_name,group_code,group_name,line_name,color,forecast_qty_q2,forecast_revenue_q2,forecast_qty_conservative,forecast_qty_optimistic,avg_unit_price,is_new_sku,missing_master_flag,rank_qty,rank_revenue
1000400050090000,Xe đạp Thống Nhất MTB SPD 27.5 15 Hồng,Unknown,Unknown,Unknown,Hồng,77.60940000000001,218329317.72300005,62.087520000000005,93.13128,2813181.3636363638,1,1,131,101
1000400050200000,Xe đạp Thống Nhất MTB SPD 27.5 17 Xanh,Unknown,Unknown,Unknown,Xanh,135.5442,388263936.50715,108.43536,162.65304,2864482.1136363638,1,1,105,72
1010020000050000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_15 Cam",SPORTBIKE_A,Xe thể thao nhôm,"Xe GRX AT 27,5_2.0",Cam,11.0664,22907448.0,8.85312,13.279679999999999,2070000.0,0,0,152,151
1010020000080000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_15 Ghi",SPORTBIKE_A,Xe thể thao nhôm,"Xe GRX AT 27,5_2.0",Ghi,113.4306,238204260.0,90.74448000000001,136.11672,2100000.0,0,0,117,97
1010020010050000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_17 Cam",SPORTBIKE_A,Xe thể thao nhôm,"Xe GRX AT 27,5_2.0",Cam,2.7666,5809860.0,2.21328,3.3199199999999998,2100000.0,0,0,164,175
1010020010080000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_17 Ghi",SPORTBIKE_A,Xe thể thao nhôm,"Xe GRX AT 27,5_2.0",Ghi,11.0664,22907448.0,8.85312,13.279679999999999,2070000.0,0,0,152,151
1010020010220000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_17 Xanh dương",SPORTBIKE_A,Xe thể thao nhôm,"Xe GRX AT 27,5_2.0",Xanh Dương,5.5332,11453724.0,4.42656,6.6398399999999995,2070000.0,0,0,157,161
1010030010130000,Xe đạp Thống Nhất GRX 2.0 Xanh lá,Unknown,Unknown,Unknown,Xanh Lá,28.334899999999998,184396556.45335832,22.667920000000002,34.00188,6507753.916666667,1,1,139,107
1010030010220000,Xe đạp Thống Nhất GRX 2.0 Xanh dương,Unknown,Unknown,Unknown,Xanh Dương,11.6721,90658706.4009,9.33768,14.00652,7767129.0,1,1,151,134
1010030010260000,Xe đạp Thống Nhất GRX 2.0 Be,Unknown,Unknown,Unknown,Be,1.6093,11008057.776099999,1.2874400000000001,1.9311599999999998,6840277.0,1,1,166,162
1010130010050000,Xe đạp Thống Nhất REX Cam,Unknown,Unknown,Unknown,Cam,6.6000000000000005,63479163.0,5.280000000000001,7.92,9618055.0,1,1,155,139
1010130010220000,Xe đạp Thống Nhất REX Xanh dương,Unknown,Unknown,Unknown,Xanh Dương,4.9093,20987257.5,3.9274400000000007,5.89116,4275000.0,1,1,160,152
1030010000080000,Xe đạp Thống Nhất TE Batman12 Ghi,KIDBIKE_2,Xe trẻ em nhóm 2,Xe TE Batman12 (IP - Bản quyền),Ghi,145.85129999999998,95154467.41962,116.68104,175.02155999999997,652407.4,0,0,101,132
1040010000080000,Xe đạp Thống Nhất TE Batman16 Ghi,KIDBIKE_2,Xe trẻ em nhóm 2,Xe TE Batman16 (IP - Bản quyền),Ghi,423.567,472641076.91925,338.85360000000003,508.2804,1115859.0657894737,0,0,41,59
1050010000200000,Xe đạp Thống Nhất TE Super Man 12 Xanh,KIDBIKE_2,Xe trẻ em nhóm 2,Xe TE Super Man 12 (IP - Bản quyền),Xanh,95.166,89986696.19,76.1328,114.1992,945576.1111111111,0,0,124,135
1060010000200000,Xe đạp Thống Nhất TE Super Man 16 Xanh,KIDBIKE_2,Xe trẻ em nhóm 2,Xe TE Super Man 16 (IP - Bản quyền),Xanh,129.0672,123205348.52423999,103.25376,154.88064,954582.9499999998,0,0,108,126
