group_code,group_name,forecast_qty_q2,forecast_revenue_q2,forecast_qty_conservative,forecast_qty_optimistic,forecast_revenue_conservative,forecast_revenue_optimistic,sku_count,revenue_share_q2
CITYBIKE_P,Xe phổ thông,32755.492,52410576710.58701,26204.3936,39306.5904,41928461368.46961,62892692052.704414,65,0.5350128029413523
UNKNOWN_GROUP,Unknown group,14750.054,28594773635.793507,11800.0432,17700.0648,22875818908.634804,34313728362.952206,72,0.29189852416313966
KIDBIKE_1,Xe trẻ em nhóm 1,7900.3837,10163113833.421667,6320.30696,9480.460439999999,8130491066.737335,12195736600.106,36,0.10374615888423522
KIDBIKE_2,Xe trẻ em nhóm 2,4488.3477,4215772543.9858055,3590.67816,5386.017239999999,3372618035.1886444,5058927052.782967,23,0.0430350594647326
SPORTBIKE_S,Xe thể thao thép,791.8217999999999,1621924309.0917156,633.45744,950.18616,1297539447.2733727,1946309170.9100587,34,0.016556777758001434
SPORTBIKE_A,Xe thể thao nhôm,399.825,955189466.488079,319.86,479.78999999999996,764151573.1904632,1146227359.7856946,17,0.009750676788538592
